date,revenue,purchases,unique_streams,unique_customers,total_views
2017-11-28,14370.36,166,1345,117,14958
2017-11-29,13300.9,133,1397,98,14097
2017-11-30,13233.89,150,1335,116,15740
2017-12-01,9591.13,107,1256,82,12409
2017-12-02,1443.26,32,287,26,3313
2017-12-03,6351.95,90,977,63,8486
2017-12-04,13081.58,123,1354,88,12702
2017-12-05,9438.21,170,1196,135,12588
2017-12-06,11225.14,114,1308,77,10452
2017-12-07,10874.49,123,1229,97,11894
2017-12-08,4827.07,121,876,94,7848
2017-12-09,0.0,0,0,0,0
2017-12-10,4913.41,77,980,63,8427
2017-12-11,19796.76,122,1596,81,16941
2017-12-12,9965.48,123,1031,92,11095
2017-12-13,15810.46,106,1421,83,14180
2017-12-14,7593.37,162,1067,117,9457
2017-12-15,10931.06,84,1123,56,8954
2017-12-16,0.0,0,0,0,0
2017-12-17,1935.05,40,468,35,3989
2017-12-18,2801.69,52,467,33,3193
2017-12-19,13343.95,203,1146,32,5215
2017-12-20,2259.06,32,377,15,3015
2017-12-21,0.0,0,0,0,0
2017-12-22,0.0,0,0,0,0
2017-12-23,0.0,0,0,0,0
2017-12-24,0.0,0,0,0,0
2017-12-25,0.0,0,0,0,0
2017-12-26,0.0,0,0,0,0
2017-12-27,0.0,0,0,0,0
2017-12-28,0.0,0,0,0,0
2017-12-29,0.0,0,0,0,0
2017-12-30,0.0,0,0,0,0
2017-12-31,0.0,0,0,0,0
2018-01-01,1931.95,70,521,29,2997
2018-01-02,3013.22,46,634,31,5578
2018-01-03,959.61,14,250,13,1981
2018-01-04,3360.16,87,695,71,8480
2018-01-05,4955.78,49,505,42,5455
2018-01-06,0.0,0,0,0,0
2018-01-07,2051.45,37,489,29,4656
2018-01-08,14428.55,74,1082,43,8681
2018-01-09,3744.19,65,775,34,5661
2018-01-10,11582.34,64,927,42,5689
2018-01-11,12202.78,87,1062,62,9576
2018-01-12,2081.59,53,441,41,4519
2018-01-13,0.0,0,0,0,0
2018-01-14,3355.52,41,684,35,5607
2018-01-15,8874.08,50,1008,33,6095
2018-01-16,7783.66,51,1068,44,8864
2018-01-17,6981.04,80,810,60,5126
2018-01-18,3832.36,88,780,53,7274
2018-01-19,9406.62,77,888,40,8352
2018-01-20,0.0,0,0,0,0
2018-01-21,3919.6,52,706,48,5835
2018-01-22,6985.36,72,920,45,7668
2018-01-23,15402.23,168,853,99,7983
