date,revenue,purchases,unique_streams,unique_customers,total_views,country
2017-11-28,13200.94,154,1291,107,12833,United Kingdom
2017-11-29,13111.91,125,1389,92,13588,United Kingdom
2017-11-30,12885.14,144,1318,110,15217,United Kingdom
2017-12-01,9066.92,100,1221,76,11537,United Kingdom
2017-12-02,1263.28,31,263,25,3101,United Kingdom
2017-12-03,6148.12,87,964,60,8038,United Kingdom
2017-12-04,12133.87,110,1301,78,11153,United Kingdom
2017-12-05,8863.47,157,1151,126,11890,United Kingdom
2017-12-06,10843.59,108,1292,73,10013,United Kingdom
2017-12-07,10549.27,116,1192,92,11481,United Kingdom
2017-12-08,4792.82,117,875,91,7828,United Kingdom
2017-12-09,0.0,0,0,0,0,United Kingdom
2017-12-10,4498.74,71,935,58,7591,United Kingdom
2017-12-11,19032.95,113,1568,76,14781,United Kingdom
2017-12-12,9472.02,119,1000,89,10299,United Kingdom
2017-12-13,15540.97,101,1409,79,13589,United Kingdom
2017-12-14,5895.53,157,1062,113,9298,United Kingdom
2017-12-15,9520.52,71,1011,49,6538,United Kingdom
2017-12-16,0.0,0,0,0,0,United Kingdom
2017-12-17,1781.77,37,418,32,3357,United Kingdom
2017-12-18,2605.82,49,427,30,2454,United Kingdom
2017-12-19,13248.39,202,1136,31,5053,United Kingdom
2017-12-20,1571.04,29,286,13,1076,United Kingdom
2017-12-21,0.0,0,0,0,0,United Kingdom
2017-12-22,0.0,0,0,0,0,United Kingdom
2017-12-23,0.0,0,0,0,0,United Kingdom
2017-12-24,0.0,0,0,0,0,United Kingdom
2017-12-25,0.0,0,0,0,0,United Kingdom
2017-12-26,0.0,0,0,0,0,United Kingdom
2017-12-27,0.0,0,0,0,0,United Kingdom
2017-12-28,0.0,0,0,0,0,United Kingdom
2017-12-29,0.0,0,0,0,0,United Kingdom
2017-12-30,0.0,0,0,0,0,United Kingdom
2017-12-31,0.0,0,0,0,0,United Kingdom
2018-01-01,1901.66,68,520,27,2985,United Kingdom
2018-01-02,3013.22,46,634,31,5578,United Kingdom
2018-01-03,959.61,14,250,13,1981,United Kingdom
2018-01-04,2764.02,78,586,65,6089,United Kingdom
2018-01-05,1869.52,41,380,36,3785,United Kingdom
2018-01-06,0.0,0,0,0,0,United Kingdom
2018-01-07,1940.91,36,475,28,4418,United Kingdom
2018-01-08,12780.96,63,1057,35,7930,United Kingdom
2018-01-09,3479.74,60,730,30,4789,United Kingdom
2018-01-10,7651.79,51,892,33,5017,United Kingdom
2018-01-11,11948.59,83,1022,58,8866,United Kingdom
2018-01-12,1695.9,45,375,34,3700,United Kingdom
2018-01-13,0.0,0,0,0,0,United Kingdom
2018-01-14,3355.52,41,684,35,5607,United Kingdom
2018-01-15,8645.58,48,993,31,5917,United Kingdom
2018-01-16,6972.95,44,990,38,7478,United Kingdom
2018-01-17,4688.67,74,809,57,4959,United Kingdom
2018-01-18,3379.82,85,712,50,5810,United Kingdom
2018-01-19,5194.94,66,766,34,5551,United Kingdom
2018-01-20,0.0,0,0,0,0,United Kingdom
2018-01-21,3815.53,51,685,47,5503,United Kingdom
2018-01-22,6720.26,69,905,42,7318,United Kingdom
2018-01-23,12272.61,124,783,71,5795,United Kingdom
2018-01-24,6059.36,82,835,54,6857,United Kingdom
2018-01-25,3539.02,78,724,52,7267,United Kingdom
2018-01-26,23924.09,81,717,50,6164,United Kingdom
2018-01-27,0.0,0,0,0,0,United Kingdom
2018-01-28,3388.54,53,723,44,6097,United Kingdom
2018-01-29,5252.15,71,795,45,5167,United Kingdom
2018-01-30,2876.71,53,670,38,5909,United Kingdom
2018-01-31,5643.1,143,899,40,6260,United Kingdom
2018-02-01,4519.5,139,878,49,7851,United Kingdom
2018-02-02,4157.76,145,686,51,5323,United Kingdom
2018-02-03,0.0,0,0,0,0,United Kingdom
2018-02-04,2015.84,31,517,25,2737,United Kingdom
2018-02-05,4623.85,64,738,43,5231,United Kingdom
2018-02-06,2798.6,47,543,41,4416,United Kingdom
2018-02-07,3957.96,35,617,23,2742,United Kingdom
2018-02-08,2462.27,92,504,41,3948,United Kingdom
2018-02-09,2783.86,70,583,28,3561,United Kingdom
2018-02-10,0.0,0,0,0,0,United Kingdom
2018-02-11,3345.58,49,698,39,6071,United Kingdom
2018-02-12,2035.62,46,459,31,5429,United Kingdom
2018-02-13,7798.6,105,1073,54,8749,United Kingdom
2018-02-14,2931.21,58,618,43,5955,United Kingdom
2018-02-15,3849.88,84,765,74,7570,United Kingdom
2018-02-16,7910.3,64,923,33,5483,United Kingdom
2018-02-17,0.0,0,0,0,0,United Kingdom
2018-02-18,3139.78,58,598,48,3896,United Kingdom
2018-02-19,3486.44,79,668,38,7469,United Kingdom
2018-02-20,3811.35,75,721,38,5852,United Kingdom
2018-02-21,4654.29,113,775,48,5313,United Kingdom
2018-02-22,5075.62,88,861,66,9220,United Kingdom
2018-02-23,7471.39,61,695,30,4616,United Kingdom
2018-02-24,0.0,0,0,0,0,United Kingdom
2018-02-25,3705.83,55,726,47,5226,United Kingdom
2018-02-26,4269.05,93,775,47,6354,United Kingdom
2018-02-27,6228.8,129,927,68,6456,United Kingdom
2018-02-28,5484.32,71,962,51,8831,United Kingdom
2018-03-01,6975.26,95,971,70,10645,United Kingdom
2018-03-02,4539.85,77,705,47,5295,United Kingdom
2018-03-03,0.0,0,0,0,0,United Kingdom
2018-03-04,5728.09,65,1028,47,7266,United Kingdom
2018-03-05,9341.95,100,1036,64,8014,United Kingdom
2018-03-06,6158.53,97,749,56,6250,United Kingdom
2018-03-07,5956.25,77,909,53,7956,United Kingdom
2018-03-08,5297.01,75,855,39,6367,United Kingdom
2018-03-09,3329.63,46,612,27,4333,United Kingdom
2018-03-10,0.0,0,0,0,0,United Kingdom
2018-03-11,1699.52,24,436,21,2594,United Kingdom
2018-03-12,7053.28,73,933,39,5916,United Kingdom
2018-03-13,4943.47,86,808,73,6761,United Kingdom
2018-03-14,4003.32,52,749,39,7107,United Kingdom
2018-03-15,5785.35,91,790,70,8108,United Kingdom
2018-03-16,13790.25,82,715,54,6343,United Kingdom
2018-03-17,0.0,0,0,0,0,United Kingdom
2018-03-18,3793.57,62,791,50,6571,United Kingdom
2018-03-19,6158.02,99,866,67,7521,United Kingdom
2018-03-20,52204.69,76,736,58,6183,United Kingdom
2018-03-21,6777.56,102,804,78,6983,United Kingdom
2018-03-22,18208.92,100,885,65,8509,United Kingdom
2018-03-23,4228.32,74,784,51,5980,United Kingdom
2018-03-24,0.0,0,0,0,0,United Kingdom
2018-03-25,4638.05,60,904,56,9291,United Kingdom
2018-03-26,8563.53,94,1028,43,9467,United Kingdom
2018-03-27,7045.04,103,989,77,9274,United Kingdom
2018-03-28,7770.04,85,954,66,8923,United Kingdom
2018-03-29,6140.51,105,883,67,7751,United Kingdom
2018-03-30,0.0,0,0,0,0,United Kingdom
2018-03-31,0.0,0,0,0,0,United Kingdom
2018-04-01,0.0,0,0,0,0,United Kingdom
2018-04-02,0.0,0,0,0,0,United Kingdom
2018-04-03,3755.59,66,694,47,5506,United Kingdom
2018-04-04,4642.3,63,806,44,6627,United Kingdom
2018-04-05,7102.53,92,1003,69,10712,United Kingdom
2018-04-06,3115.63,52,545,33,4323,United Kingdom
2018-04-07,0.0,0,0,0,0,United Kingdom
2018-04-08,2877.95,41,625,38,5256,United Kingdom
2018-04-09,2617.31,76,550,60,5377,United Kingdom
2018-04-10,3961.63,86,729,65,5890,United Kingdom
2018-04-11,2943.68,58,577,46,6295,United Kingdom
2018-04-12,24147.66,87,648,61,7228,United Kingdom
2018-04-13,2196.25,43,528,34,4581,United Kingdom
2018-04-14,0.0,0,0,0,0,United Kingdom
2018-04-15,4671.05,49,732,40,5778,United Kingdom
2018-04-16,15191.67,79,1222,43,10688,United Kingdom
2018-04-17,13501.78,73,801,54,7253,United Kingdom
2018-04-18,3940.7,72,664,46,5541,United Kingdom
2018-04-19,16615.73,121,768,103,8752,United Kingdom
2018-04-20,5698.14,66,658,43,6392,United Kingdom
2018-04-21,0.0,0,0,0,0,United Kingdom
2018-04-22,4021.96,48,700,42,5595,United Kingdom
2018-04-23,7682.22,113,896,65,7712,United Kingdom
2018-04-24,5399.66,103,835,74,10807,United Kingdom
2018-04-25,5326.17,72,860,58,9937,United Kingdom
2018-04-26,7849.13,97,986,72,9745,United Kingdom
2018-04-27,5906.03,89,707,58,5373,United Kingdom
2018-04-28,0.0,0,0,0,0,United Kingdom
2018-04-29,2433.45,40,505,36,4085,United Kingdom
2018-04-30,0.0,0,0,0,0,United Kingdom
2018-05-01,6550.04,89,756,62,6225,United Kingdom
2018-05-02,6819.39,112,804,78,7210,United Kingdom
2018-05-03,5951.13,111,842,77,7880,United Kingdom
2018-05-04,4034.78,86,800,52,9080,United Kingdom
2018-05-05,0.0,0,0,0,0,United Kingdom
2018-05-06,4393.14,60,832,51,6898,United Kingdom
2018-05-07,7769.04,113,869,81,8149,United Kingdom
2018-05-08,5836.61,174,952,56,9030,United Kingdom
2018-05-09,4247.28,124,768,50,6742,United Kingdom
2018-05-10,5138.29,88,748,63,6673,United Kingdom
2018-05-11,3808.32,101,588,73,4689,United Kingdom
2018-05-12,0.0,0,0,0,0,United Kingdom
2018-05-13,4419.13,45,825,36,5223,United Kingdom
2018-05-14,4757.22,143,823,58,7063,United Kingdom
2018-05-15,5664.21,87,816,61,6505,United Kingdom
2018-05-16,4251.38,76,716,57,5990,United Kingdom
2018-05-17,6221.18,83,824,63,8722,United Kingdom
2018-05-18,5361.67,115,768,46,4458,United Kingdom
2018-05-19,0.0,0,0,0,0,United Kingdom
2018-05-20,4066.49,50,621,38,6362,United Kingdom
2018-05-21,5189.17,92,732,62,8830,United Kingdom
2018-05-22,4705.07,149,781,60,6991,United Kingdom
2018-05-23,7599.98,108,785,66,7451,United Kingdom
